lat,lon,LST_Kelvin_mean
37.25,-3.5,296.24618739535873
37.25,-3.25,295.78694681068924
37.25,-3.0,298.0118507783061
37.25,-2.75,296.43019264875807
37.25,-2.5,296.7339260650873
37.25,-2.25,299.46463022568145
37.25,-2.0,300.13246720616394
37.25,-1.75,300.1236506351332
37.25,9.0,293.90502746687093
37.25,9.25,295.96483258480544
37.25,9.5,295.5706382157508
37.25,9.75,295.9427311574399
37.25,10.0,297.21397859265926
37.25,10.25,297.0506790824357
37.25,13.25,298.4729741123557
37.25,13.5,298.5831409107826
37.25,13.75,298.26587189124575
37.25,14.0,299.17420704232256
37.25,14.25,298.48742219552486
37.25,14.5,297.725891561747
37.25,14.75,297.48873563076114
37.25,15.0,297.8681515916541
37.25,21.5,297.4027877585977
37.25,21.75,295.0408174650173
37.25,22.0,295.55923595112125
37.25,22.25,293.5598823380396
37.25,22.5,292.9593389750105
37.25,22.75,294.55110743618906
37.25,23.0,297.14692574418274
37.25,23.25,298.1985484609755
37.25,23.5,294.85202613273134
37.25,24.5,296.46172111372124
37.25,25.0,296.8970967741934
37.25,25.25,295.60289897214255
37.25,25.5,294.8590949795285
37.25,26.5,295.9004540098278
37.25,26.75,295.84104845723033
37.25,27.0,295.9611334519573
37.25,27.25,298.0496562679638
37.25,27.5,297.2987542383013
37.25,27.75,298.9700633531311
37.25,28.0,295.0461232587731
37.25,28.25,296.48525692857146
37.25,28.5,293.6457503756705
37.25,28.75,295.20648255849306
37.25,29.0,294.4072692823915
37.25,29.25,293.8132743033138
37.25,29.5,297.3914739702207
37.25,29.75,297.6773402516264
37.25,30.0,296.07266062097807
37.25,30.25,296.8849152378021
37.25,30.5,296.4424022516366
37.25,30.75,296.4523607431052
37.25,31.0,293.7060278796156
37.25,31.25,293.691022815936
37.25,31.5,289.084512863956
37.25,31.75,290.5992834143047
37.25,32.0,291.46645964416024
37.25,32.25,296.8463586520453
37.25,32.5,297.7052652238687
37.25,32.75,299.5485906596066
37.25,33.0,299.7946735670286
37.25,33.25,301.77186373772884
37.25,33.5,301.45589344465975
37.25,33.75,299.5792220118668
37.25,34.0,291.99874848482034
37.25,34.25,285.8190467675831
37.25,34.5,287.1507440257925
37.25,34.75,293.0597087305173
37.25,35.0,297.246206894595
37.25,35.25,299.01070508559707
37.25,35.5,299.90626318318914
37.25,36.25,297.8044281778381
37.25,36.5,295.1120119259535
37.25,36.75,299.5085420447993
37.25,37.0,302.0407508455235
37.25,37.25,302.1353625219596
37.25,37.5,303.6102184160923
37.25,37.75,303.920824658949
37.25,38.0,305.7823954842609
37.5,-8.75,297.27526717904755
37.5,-8.5,298.9798063909702
37.5,-8.25,300.23433559309876
37.5,-8.0,302.03744784236466
37.5,-7.75,303.04281355554633
37.5,-7.5,302.36717947849576
37.5,-7.25,302.50832019300873
37.5,-7.0,302.0892275590712
37.5,-6.75,301.16354796986434
37.5,-6.5,300.72282623269024
37.5,-6.25,302.8025590160966
37.5,-6.0,301.086312352988
37.5,-5.75,301.1180371370789
37.5,-5.5,303.24063080068896
37.5,-5.25,303.7277299531094
37.5,-5.0,303.46063319419574
37.5,-4.75,301.5756597464404
37.5,-4.5,300.32985914908653
37.5,-4.25,298.7226105577978
37.5,-4.0,299.13994992264924
37.5,-3.75,297.7563258014519
37.5,-3.5,298.93504202174097
37.5,-3.25,299.222782516695
37.5,-3.0,299.1416402686417
37.5,-2.75,297.79987100384216
37.5,-2.5,298.23466609980983
37.5,-2.25,299.23680350643775
37.5,-2.0,301.06053881862067
37.5,-1.75,300.76160590676454
37.5,-1.5,299.27256150798246
37.5,-1.25,299.4194351766842
37.5,-1.0,297.8069436379894
37.5,-0.75,297.32084632882896
37.5,9.0,293.3387298809524
37.5,12.5,295.8813740458016
37.5,12.75,297.98658443486806
37.5,13.0,297.52684024966044
37.5,13.25,297.25935305292023
37.5,13.5,297.54178402106356
37.5,13.75,297.3535445244931
37.5,14.0,297.56343407426516
37.5,14.25,296.0696084100246
37.5,14.5,298.1818125246116
37.5,14.75,299.71096074354955
37.5,15.0,298.4796089143138
