lat,lon,LST_Kelvin,LST_Celsius
37.0,6.5,294.852,21.701999999999998
37.0,6.75,294.23826086956524,21.08826086956526
37.0,7.0,296.9688,23.81880000000001
37.0,7.25,304.086369168357,30.936369168357032
37.0,7.5,302.7609056603774,29.610905660377398
37.0,7.75,301.2961081081081,28.146108108108137
37.0,8.0,300.94736842105266,27.79736842105268
37.0,8.25,301.50177514792904,28.35177514792906
37.0,8.5,299.3876470588235,26.23764705882354
37.0,9.75,306.46999999999997,33.31999999999999
37.0,10.0,305.68379204892966,32.53379204892968
37.0,10.25,304.2549163879599,31.104916387959918
37.0,13.75,297.70666666666665,24.556666666666672
37.0,14.0,298.3454545454546,25.195454545454595
37.0,14.25,297.42741721854304,24.277417218543064
37.0,14.5,300.26042875157634,27.110428751576364
37.0,14.75,300.33015555555556,27.180155555555586
37.0,15.0,298.17359462486,25.02359462486004
37.0,15.25,298.5675544794189,25.417554479418925
37.0,21.5,295.7244827586207,22.574482758620718
37.0,21.75,294.17792915531334,21.02792915531336
37.0,22.0,294.10263305322127,20.95263305322129
37.0,22.25,291.3541645885287,18.204164588528727
37.0,22.5,292.9236170212766,19.773617021276607
37.0,22.75,292.6212535612536,19.471253561253604
37.0,23.0,286.444347826087,13.294347826087005
37.0,25.75,292.76923076923083,19.619230769230853
37.0,26.5,294.34000000000003,21.190000000000055
37.0,26.75,294.7569230769231,21.606923076923124
37.0,27.0,294.408427672956,21.25842767295603
37.0,27.25,295.68390438247013,22.533904382470155
37.0,27.5,294.30901492537316,21.159014925373185
37.0,27.75,293.6478169014084,20.49781690140844
37.0,28.0,294.0924444444444,20.942444444444448
37.0,28.25,292.96901360544217,19.819013605442194
37.0,28.5,293.83918618988906,20.689186189889085
37.0,28.75,291.98841013824887,18.83841013824889
37.0,29.0,291.1732167832168,18.02321678321681
37.0,29.25,289.63653012048195,16.486530120481973
37.0,29.5,290.06099878197324,16.910998781973262
37.0,29.75,292.17320410490305,19.023204104903073
37.0,30.0,291.6358882681564,18.48588826815643
37.0,30.25,292.12539568345323,18.975395683453257
37.0,30.5,293.28639285714286,20.13639285714288
37.0,30.75,295.8268235294118,22.67682352941182
37.0,31.0,295.13321663019696,21.983216630196978
37.0,31.25,294.0140248962656,20.86402489626562
37.0,31.5,288.9921739130435,15.842173913043496
37.0,31.75,287.6260759493671,14.4760759493671
37.0,32.0,283.16730158730155,10.017301587301574
37.0,32.25,287.76418491484185,14.614184914841871
37.0,32.5,291.4211415525114,18.271141552511438
37.0,32.75,293.1213022113022,19.971302211302202
37.0,33.0,292.7107196029777,19.560719602977713
37.0,33.25,290.37236151603497,17.222361516034994
37.0,33.5,290.80283251231526,17.652832512315285
37.0,33.75,289.65871111111113,16.508711111111154
37.0,34.0,287.43670772676376,14.28670772676378
37.0,34.25,287.9799039615846,14.829903961584648
37.0,34.5,292.2037516170763,19.05375161707633
37.0,34.75,297.2775283446712,24.127528344671248
37.0,35.0,299.2159383033419,26.06593830334191
37.0,35.25,298.09798165137613,24.947981651376153
37.0,35.5,299.1225260416667,25.972526041666697
37.0,35.75,299.452587244284,26.30258724428404
37.0,36.0,298.2989801699717,25.148980169971708
37.0,36.25,294.56679715302494,21.41679715302496
37.0,36.5,288.5084848484849,15.35848484848492
37.0,36.75,296.05891891891895,22.90891891891897
37.0,37.0,295.0347474747475,21.88474747474754
37.0,37.25,294.24060606060607,21.090606060606092
37.0,37.5,294.69159420289856,21.54159420289858
37.0,37.75,296.5302702702703,23.38027027027033
37.0,38.0,295.56324786324785,22.413247863247875
37.25,-7.5,287.5713043478261,14.421304347826151
37.25,9.0,291.63,18.480000000000018
37.25,9.25,294.8706521739131,21.720652173913095
37.25,9.5,297.57550561797757,24.425505617977592
37.25,9.75,302.8241558441559,29.674155844155905
37.25,10.0,305.6985542168675,32.5485542168675
37.25,10.25,302.1672972972973,29.01729729729732
37.25,13.5,297.73721518987344,24.58721518987346
37.25,13.75,300.58284280936454,27.43284280936456
37.25,14.0,297.6770297029703,24.52702970297031
37.25,14.25,295.8177094972067,22.667709497206715
37.25,14.5,299.4297111111111,26.279711111111112
37.25,14.75,299.0984444444445,25.948444444444533
37.25,15.0,298.30099078341016,25.15099078341018
37.25,15.25,297.9842926829268,24.834292682926844
37.25,21.5,296.4758064516129,23.325806451612948
37.25,21.75,293.23251282051285,20.082512820512875
