latitude,longitude,land_cover_class
-89.875,37.375,15
-89.875,37.625,15
-89.875,37.875,15
-89.875,38.125,15
-89.875,38.375,15
-89.875,38.625,15
-89.875,38.875,15
-89.875,39.125,15
-89.875,39.375,15
-89.875,39.625,15
-89.875,39.875,15
-89.875,40.125,15
-89.875,40.375,15
-89.875,40.625,15
-89.875,40.875,15
-89.875,41.125,15
-89.875,41.375,15
-89.875,41.625,15
-89.875,41.875,15
-89.875,42.125,15
-89.875,42.375,15
-89.875,42.625,15
-89.875,42.875,15
-89.875,43.125,15
-89.875,43.375,15
-89.875,43.625,15
-89.875,43.875,15
-89.875,44.125,15
-89.875,44.375,15
-89.875,44.625,15
-89.875,44.875,15
-89.875,45.125,15
-89.875,45.375,15
-89.875,45.625,15
-89.875,45.875,15
-89.875,46.125,15
-89.875,46.375,15
-89.875,46.625,15
-89.875,46.875,15
-89.875,47.125,15
-89.875,47.375,15
-89.875,47.625,15
-89.875,47.875,15
-89.875,48.125,15
-89.875,48.375,15
-89.875,48.625,15
-89.875,48.875,15
-89.875,49.125,15
-89.875,49.375,15
-89.875,49.625,15
-89.875,49.875,15
-89.875,50.125,15
-89.875,50.375,15
-89.875,50.625,15
-89.875,50.875,15
-89.875,51.125,15
-89.875,51.375,15
-89.875,51.625,15
-89.875,51.875,15
-89.875,52.125,15
-89.875,52.375,15
-89.875,52.625,15
-89.875,52.875,15
-89.875,53.125,15
-89.875,53.375,15
-89.875,53.625,15
-89.875,53.875,15
-89.875,54.125,15
-89.875,54.375,15
-89.875,54.625,15
-89.875,54.875,15
-89.875,55.125,15
-89.875,55.375,15
-89.875,55.625,15
-89.875,55.875,15
-89.875,56.125,15
-89.875,56.375,15
-89.875,56.625,15
-89.875,56.875,15
-89.875,57.125,15
-89.875,57.375,15
-89.875,57.625,15
-89.875,57.875,15
-89.875,58.125,15
-89.875,58.375,15
-89.875,58.625,15
-89.875,58.875,15
-89.875,59.125,15
-89.875,59.375,15
-89.875,59.625,15
-89.875,59.875,15
-89.875,60.125,15
-89.875,60.375,15
-89.875,60.625,15
-89.875,60.875,15
-89.875,61.125,15
-89.875,61.375,15
-89.875,61.625,15
-89.875,61.875,15
-89.875,62.125,15
-89.875,62.375,15
-89.875,62.625,15
-89.875,62.875,15
-89.875,63.125,15
-89.875,63.375,15
-89.875,63.625,15
-89.875,63.875,15
-89.875,64.125,15
-89.875,64.375,15
-89.875,64.625,15
-89.875,64.875,15
-89.875,65.125,15
-89.875,65.375,15
-89.875,65.625,15
-89.875,65.875,15
-89.875,66.125,15
-89.875,66.375,15
-89.875,66.625,15
-89.875,66.875,15
-89.875,67.125,15
-89.875,67.375,15
-89.875,67.625,15
-89.875,67.875,15
-89.875,68.125,15
-89.875,68.375,15
-89.875,68.625,15
-89.875,68.875,15
-89.875,69.125,15
-89.875,69.375,15
-89.875,69.625,15
-89.875,69.875,15
-89.875,70.125,15
-89.875,70.375,15
-89.875,70.625,15
-89.875,70.875,15
-89.875,71.125,15
-89.875,71.375,15
-89.875,71.625,15
-89.875,71.875,15
-89.875,72.125,15
-89.875,72.375,15
-89.875,72.625,15
-89.875,72.875,15
-89.875,73.125,15
-89.875,73.375,15
-89.875,73.625,15
-89.875,73.875,15
-89.875,74.125,15
-89.875,74.375,15
-89.875,74.625,15
-89.875,74.875,15
-89.875,75.125,15
-89.875,75.375,15
-89.875,75.625,15
-89.875,75.875,15
-89.875,76.125,15
-89.875,76.375,15
-89.875,76.625,15
-89.875,76.875,15
-89.875,77.125,15
-89.875,77.375,15
-89.875,77.625,15
-89.875,77.875,15
-89.875,78.125,15
-89.875,78.375,15
-89.875,78.625,15
-89.875,78.875,15
-89.875,79.125,15
-89.875,79.375,15
-89.875,79.625,15
-89.875,79.875,15
-89.875,80.125,15
-89.875,80.375,15
-89.875,80.625,15
-89.875,80.875,15
-89.875,81.125,15
-89.875,81.375,15
-89.875,81.625,15
-89.875,81.875,15
-89.875,82.125,15
-89.875,82.375,15
-89.875,82.625,15
-89.875,82.875,15
-89.875,83.125,15
-89.875,83.375,15
-89.875,83.625,15
-89.875,83.875,15
-89.875,84.125,15
-89.875,84.375,15
-89.875,84.625,15
-89.875,84.875,15
-89.875,85.125,15
-89.875,85.375,15
-89.875,85.625,15
-89.875,85.875,15
-89.875,86.125,15
-89.875,86.375,15
-89.875,86.625,15
-89.875,86.875,15
-89.875,87.125,15
-89.875,87.375,15
-89.875,87.625,15
-89.875,87.875,15
-89.875,88.125,15
-89.875,88.375,15
-89.875,88.625,15
-89.875,88.875,15
-89.875,89.125,15
-89.875,89.375,15
-89.875,89.625,15
-89.875,89.875,15
-89.875,90.125,15
-89.875,90.375,15
-89.875,90.625,15
-89.875,90.875,15
-89.875,91.125,15
-89.875,91.375,15
-89.875,91.625,15
-89.875,91.875,15
-89.875,92.125,15
-89.875,92.375,15
-89.875,92.625,15
-89.875,92.875,15
-89.875,93.125,15
-89.875,93.375,15
-89.875,93.625,15
-89.875,93.875,15
-89.875,94.125,15
-89.875,94.375,15
-89.875,94.625,15
-89.875,94.875,15
-89.875,95.125,15
-89.875,95.375,15
-89.875,95.625,15
-89.875,95.875,15
-89.875,96.125,15
-89.875,96.375,15
-89.875,96.625,15
-89.875,96.875,15
-89.875,97.125,15
-89.875,97.375,15
-89.875,97.625,15
-89.875,97.875,15
-89.875,98.125,15
-89.875,98.375,15
-89.875,98.625,15
-89.875,98.875,15
-89.875,99.125,15
-89.875,99.375,15
-89.875,99.625,15
-89.875,99.875,15
-89.875,100.125,15
-89.875,100.375,15
-89.875,100.625,15
-89.875,100.875,15
-89.875,101.125,15
-89.875,101.375,15
-89.875,101.625,15
-89.875,101.875,15
-89.875,102.125,15
-89.875,102.375,15
-89.875,102.625,15
-89.875,102.875,15
-89.875,103.125,15
-89.875,103.375,15
-89.875,103.625,15
-89.875,103.875,15
-89.875,104.125,15
-89.875,104.375,15
-89.875,104.625,15
-89.875,104.875,15
-89.875,105.125,15
-89.875,105.375,15
-89.875,105.625,15
-89.875,105.875,15
-89.875,106.125,15
-89.875,106.375,15
-89.875,106.625,15
-89.875,106.875,15
-89.875,107.125,15
-89.875,107.375,15
-89.875,107.625,15
-89.875,107.875,15
-89.875,108.125,15
-89.875,108.375,15
-89.875,108.625,15
-89.875,108.875,15
-89.875,109.125,15
-89.875,109.375,15
-89.875,109.625,15
-89.875,109.875,15
-89.875,110.125,15
-89.875,110.375,15
-89.875,110.625,15
-89.875,110.875,15
-89.875,111.125,15
-89.875,111.375,15
-89.875,111.625,15
-89.875,111.875,15
-89.875,112.125,15
-89.875,112.375,15
-89.875,112.625,15
-89.875,112.875,15
-89.875,113.125,15
-89.875,113.375,15
-89.875,113.625,15
-89.875,113.875,15
-89.875,114.125,15
-89.875,114.375,15
-89.875,114.625,15
-89.875,114.875,15
-89.875,115.125,15
-89.875,115.375,15
-89.875,115.625,15
-89.875,115.875,15
-89.875,116.125,15
-89.875,116.375,15
-89.875,116.625,15
-89.875,116.875,15
-89.875,117.125,15
-89.875,117.375,15
-89.875,117.625,15
-89.875,117.875,15
-89.875,118.125,15
-89.875,118.375,15
-89.875,118.625,15
-89.875,118.875,15
-89.875,119.125,15
-89.875,119.375,15
-89.875,119.625,15
